# Accelerometer Data File
# Started @Wed Mar 30 10:14:19 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-0.546 -0.035 -0.95 8
0.072 0.223 -0.482 8
0.585 0.366 -0.201 9
1.001 0.379 -0.089 8
1.235 0.345 -0.108 9
1.277 0.262 -0.112 8
1.124 0.121 -0.048 8
0.768 -0.059 -0.016 9
0.294 -0.248 -0.011 8
-0.133 -0.431 0.212 9
-0.491 -0.556 0.474 8
-0.719 -0.647 0.693 8
-0.844 -0.719 0.842 9
-1.013 -0.747 0.934 8
-1.208 -0.835 0.855 9
-1.417 -0.901 0.653 8
-1.615 -0.933 0.438 8
-1.819 -0.932 0.27 9
-2.012 -0.891 0.201 8
-2.11 -0.79 0.275 9
-1.887 -0.719 0.271 8
-1.572 -0.524 0.222 8
-1.24 -0.331 0.043 9
-1.001 -0.118 -0.195 8
-0.927 0.158 -0.39 8
-1.01 0.492 -0.46 9
-1.273 0.773 -0.301 8
-1.359 0.977 0.136 9
-0.963 0.991 0.424 8
-0.211 0.908 0.474 8
0.573 0.827 0.456 9
1.03 0.727 0.74 8
1.235 0.611 1.165 9
1.342 0.445 1.749 8
1.191 0.341 2.245 8
0.776 0.312 2.484 9
0.246 0.296 2.457 8
-0.104 0.172 2.378 9
-0.515 0.078 2.054 8
-0.775 -0.015 1.605 8
-0.807 -0.075 1.074 9
-0.733 -0.091 0.491 8
-0.661 -0.086 -0.093 9
-0.515 -0.121 -0.585 8
-0.394 -0.155 -0.823 8
-0.387 -0.128 -0.925 9
-0.396 -0.097 -0.982 8
-0.295 -0.089 -1.055 9
0.011 -0.1 -1.133 8
0.53 -0.095 -1.093 8
0.471 -0.099 -1.025 9
0.136 -0.039 -1.0 8
-0.452 0.03 -0.909 8
-0.927 0.058 -0.695 9
-0.95 0.046 -0.373 8
-0.606 0.094 -0.068 9
-0.104 0.223 0.116 8
0.292 0.361 0.205 8
0.518 0.492 0.21 9
0.599 0.654 0.12 8
0.624 0.867 -0.036 9
0.722 1.046 -0.108 8
0.676 1.247 -0.063 8
0.636 1.46 -0.094 9
0.697 1.641 -0.147 8
0.88 1.741 -0.182 9
1.172 1.726 -0.164 8
1.568 1.592 -0.045 8
2.001 1.373 0.098 9
2.108 1.114 0.256 8
1.943 0.708 0.521 9
1.579 0.118 0.912 8
1.061 -0.645 1.404 8
0.343 -1.56 1.982 9
-0.189 -2.387 2.732 8
-0.643 -3.033 3.39 9
-1.015 -3.511 3.788 8
-1.355 -3.743 3.801 8
-1.679 -3.675 3.417 9
-1.821 -3.447 2.837 8
-1.841 -3.112 2.082 8
-1.742 -2.724 1.163 9
-1.505 -2.327 0.208 8
-1.159 -1.918 -0.755 9
-0.772 -1.487 -1.727 8
-0.418 -1.057 -2.578 8
-0.103 -0.723 -3.085 9
0.045 -0.448 -3.399 8
0.059 -0.228 -3.462 9
-0.013 -0.059 -3.298 8
-0.15 0.069 -2.953 8
-0.417 0.18 -2.353 9
-0.554 0.148 -1.483 8
-0.564 0.114 -0.758 9
-0.452 0.083 -0.137 8
-0.269 0.085 0.28 8
-0.068 0.135 0.329 9
0.193 0.128 -0.047 8
0.394 0.238 -0.471 9
0.542 0.365 -0.853 8
0.647 0.486 -1.173 8
0.711 0.594 -1.436 9
0.726 0.693 -1.66 8
0.66 0.773 -1.842 8
0.647 0.839 -1.826 9
0.672 0.871 -1.651 8
0.61 0.871 -1.415 9
0.5 0.839 -1.169 8
0.475 0.787 -0.915 8
0.513 0.794 -0.595 9
0.417 0.815 -0.307 8
0.17 0.827 -0.347 9
-0.066 0.811 -0.55 8
-0.229 0.792 -0.764 8
-0.341 0.809 -0.887 9
-0.351 0.802 -0.795 8
-0.212 0.784 -0.695 9
0.04 0.727 -0.467 8
0.287 0.669 -0.091 8
0.431 0.618 0.329 9
0.411 0.55 0.619 8
0.193 0.49 0.633 9
-0.106 0.438 0.575 8
-0.254 0.357 0.53 8
-0.269 0.271 0.527 9
-0.205 0.21 0.536 8
-0.113 0.189 0.5 9
-0.035 0.117 0.451 8
-0.116 0.105 0.464 8
-0.24 0.078 0.51 9
-0.388 0.042 0.571 8
-0.524 0.006 0.633 8
-0.584 -0.025 0.7 9
-0.5 -0.067 0.846 8
-0.402 -0.064 0.906 9
-0.305 -0.028 0.853 8
-0.29 0.046 0.75 8
-0.35 0.133 0.664 9
-0.394 0.182 0.633 8
-0.354 0.26 0.63 9
-0.185 0.355 0.619 8
0.0 0.452 0.632 8
0.1 0.521 0.596 9
0.092 0.564 0.484 8
0.044 0.613 0.343 9
0.134 0.666 0.252 8
0.133 0.663 0.214 8
0.211 0.65 0.209 9
0.331 0.628 0.24 8
0.461 0.596 0.333 9
0.605 0.562 0.536 8
0.678 0.519 0.9 8
0.64 0.495 1.265 9
0.577 0.489 1.528 8
0.486 0.516 1.686 9
0.389 0.573 1.737 8
0.361 0.634 1.651 8
0.594 0.672 1.295 9
0.791 0.715 0.766 8
0.988 0.707 0.213 8
1.182 0.58 -0.328 9
1.297 0.332 -0.833 8
1.202 0.05 -1.249 9
0.726 -0.19 -1.381 8
0.123 -0.448 -1.295 8
-0.262 -0.807 -0.85 9
-0.418 -1.231 -0.125 8
-0.414 -1.664 0.736 9
-0.321 -2.074 1.605 8
-0.325 -2.43 2.435 8
-0.387 -2.636 3.098 9
-0.507 -2.683 3.345 8
-0.594 -2.552 3.083 9
-0.608 -2.245 2.342 8
-0.602 -1.803 1.262 8
-0.448 -1.354 0.165 9
-0.126 -0.905 -0.859 8
0.156 -0.465 -1.772 9
0.36 -0.07 -2.507 8
0.494 0.239 -3.007 8
0.568 0.434 -3.257 9
0.571 0.606 -3.314 8
0.482 0.723 -3.21 8
0.381 0.772 -3.001 9
0.295 0.753 -2.65 8
0.22 0.672 -2.139 9
0.127 0.558 -1.577 8
0.073 0.41 -1.17 8
-0.045 0.292 -0.73 9
-0.147 0.173 -0.356 8
-0.206 0.069 -0.105 9
-0.213 -0.001 0.011 8
-0.151 -0.057 0.042 8
-0.143 -0.132 0.003 9
-0.141 -0.162 -0.117 8
-0.125 -0.161 -0.311 9
-0.154 -0.132 -0.564 8
-0.238 -0.082 -0.819 8
-0.25 -0.021 -0.951 9
-0.219 0.074 -1.002 8
-0.233 0.111 -0.922 9
-0.334 0.161 -0.758 8
-0.484 0.219 -0.622 8
-0.629 0.272 -0.559 9
-0.758 0.359 -0.427 8
-0.802 0.424 -0.349 9
-0.758 0.449 -0.399 8
-0.66 0.496 -0.512 8
-0.518 0.557 -0.634 9
-0.344 0.611 -0.736 8
-0.171 0.668 -0.819 8
0.2 0.702 -0.815 9
0.56 0.795 -0.587 8
0.764 0.827 -0.322 9
0.756 0.812 -0.08 8
0.604 0.795 0.138 8
0.527 0.758 0.312 9
0.602 0.727 0.508 8
0.571 0.724 0.66 9
0.492 0.685 0.793 8
0.383 0.62 0.885 8
0.243 0.568 0.909 9
0.075 0.537 0.867 8
-0.043 0.545 0.628 9
-0.045 0.547 0.489 8
-0.045 0.545 0.437 8
-0.074 0.531 0.45 9
-0.133 0.492 0.512 8
-0.258 0.423 0.599 9
-0.365 0.416 0.562 8
-0.421 0.378 0.576 8
-0.452 0.3 0.614 9
-0.485 0.217 0.652 8
-0.538 0.163 0.674 8
-0.606 0.105 0.65 9
-0.602 0.077 0.666 8
-0.619 0.068 0.709 9
-0.613 0.052 0.776 8
-0.57 0.032 0.83 8
-0.494 0.021 0.873 9
-0.347 0.0 1.086 8
-0.257 0.008 1.213 9
-0.216 0.016 1.233 8
-0.258 0.04 1.228 8
-0.358 0.103 1.232 9
-0.463 0.219 1.239 8
-0.547 0.378 1.225 9
-0.514 0.605 1.16 8
-0.365 0.836 0.958 8
-0.067 1.073 0.633 9
0.434 1.309 0.192 8
1.154 1.521 -0.382 9
1.952 1.639 -1.218 8
2.297 1.387 -2.016 8
2.029 0.66 -2.18 9
1.261 -0.421 -1.488 8
0.168 -1.607 -0.083 9
-1.008 -2.598 1.574 8
-2.034 -3.27 3.031 8
-2.593 -3.618 4.074 9
-2.727 -3.717 4.721 8
-2.467 -3.632 4.73 8
-1.991 -3.401 4.086 9
-1.492 -3.015 2.883 8
-1.121 -2.486 1.33 9
-0.604 -1.959 -0.216 8
-0.057 -1.391 -1.533 8
0.4 -0.846 -2.57 9
0.739 -0.381 -3.238 8
1.002 -0.019 -3.462 9
1.213 0.276 -3.313 8
1.318 0.48 -3.039 8
1.242 0.655 -2.739 9
1.082 0.773 -2.47 8
0.96 0.84 -2.238 9
0.979 0.895 -2.025 8
1.183 0.973 -1.845 8
1.452 0.995 -1.592 9
1.638 0.984 -1.329 8
1.711 0.928 -1.115 9
1.703 0.843 -1.003 8
1.663 0.755 -1.013 8
1.515 0.643 -1.073 9
1.198 0.501 -1.04 8
0.724 0.349 -1.017 9
0.168 0.176 -1.059 8
-0.377 -0.004 -1.095 8
-0.816 -0.154 -0.974 9
-0.982 -0.259 -0.698 8
-1.235 -0.278 -0.453 8
-1.405 -0.259 -0.34 9
-1.493 -0.212 -0.368 8
-1.533 -0.137 -0.525 9
-1.552 -0.037 -0.776 8
-1.497 0.053 -1.011 8
-1.424 0.126 -1.199 9
-1.198 0.203 -1.262 8
-0.794 0.269 -1.163 9
-0.317 0.328 -0.912 8
0.033 0.401 -0.562 8
0.198 0.445 -0.149 9
0.107 0.441 0.205 8
-0.005 0.466 0.446 9
-0.102 0.507 0.608 8
-0.128 0.543 0.711 8
-0.013 0.568 0.759 9
0.149 0.638 0.841 8
0.276 0.722 0.875 9
0.428 0.766 0.979 8
0.588 0.792 1.127 8
0.724 0.827 1.245 9
0.815 0.866 1.254 8
0.995 0.823 1.263 8
1.124 0.832 1.271 9
1.08 0.84 1.277 8
0.88 0.817 1.257 9
0.583 0.761 1.221 8
0.268 0.689 1.212 8
0.068 0.601 1.252 9
-0.018 0.521 1.376 8
-0.054 0.459 1.324 9
-0.07 0.454 1.066 8
-0.072 0.493 0.68 8
-0.046 0.51 0.298 9
0.026 0.496 -0.015 8
0.087 0.5 -0.171 9
0.067 0.486 -0.189 8
-0.002 0.437 -0.138 8
-0.089 0.363 -0.05 9
-0.178 0.294 0.096 8
-0.154 0.206 0.285 9
-0.18 0.141 0.588 8
-0.203 0.07 0.911 8
-0.212 0.061 1.184 9
-0.177 0.141 1.361 8
-0.042 0.264 1.423 9
0.193 0.423 1.243 8
0.626 0.562 0.833 8
1.128 0.707 0.223 9
1.575 0.813 -0.5 8
1.813 0.857 -1.168 8
1.674 0.845 -1.55 9
1.277 0.589 -1.545 8
0.812 0.235 -1.382 9
0.512 -0.247 -1.059 8
0.336 -0.839 -0.568 8
0.179 -1.504 0.089 9
-0.041 -2.19 0.908 8
-0.39 -2.733 1.842 9
-0.656 -3.129 2.749 8
-0.782 -3.286 3.335 8
-0.858 -3.21 3.362 9
-0.913 -2.939 2.757 8
-0.845 -2.509 1.648 9
-0.635 -2.028 0.329 8
-0.33 -1.558 -0.923 8
-0.032 -1.09 -2.013 9
0.174 -0.659 -2.846 8
0.233 -0.289 -3.404 9
0.136 0.031 -3.776 8
-0.073 0.247 -3.899 8
-0.301 0.35 -3.74 9
-0.334 0.353 -3.295 8
-0.192 0.325 -2.586 8
-0.01 0.295 -1.712 9
0.033 0.215 -0.862 8
-0.015 0.096 -0.075 9
-0.067 0.001 0.629 8
-0.146 -0.093 1.081 8
-0.24 -0.142 1.24 9
-0.324 -0.097 1.14 8
-0.388 -0.012 0.783 9
-0.265 0.07 0.402 8
-0.095 0.137 0.053 8
0.026 0.206 -0.219 9
0.075 0.278 -0.437 8
0.056 0.344 -0.64 9
-0.045 0.393 -0.816 8
-0.069 0.457 -0.822 8
-0.055 0.53 -0.774 9
-0.041 0.572 -0.646 8
-0.06 0.611 -0.488 9
-0.124 0.669 -0.394 8
-0.2 0.656 -0.396 8
-0.188 0.682 -0.46 9
-0.155 0.692 -0.638 8
-0.113 0.668 -0.827 9
-0.075 0.641 -0.995 8
-0.032 0.638 -1.141 8
0.118 0.572 -1.169 9
0.291 0.565 -1.015 8
0.459 0.538 -0.833 8
0.588 0.512 -0.549 9
0.633 0.505 -0.17 8
0.571 0.518 0.227 9
0.472 0.5 0.518 8
0.383 0.494 0.671 8
0.319 0.475 0.8 9
0.231 0.463 0.828 8
0.117 0.467 0.772 9
0.011 0.48 0.717 8
-0.048 0.462 0.774 8
-0.149 0.432 0.863 9
-0.237 0.415 0.872 8
-0.345 0.386 0.901 9
-0.45 0.351 0.97 8
-0.493 0.337 1.037 8
-0.44 0.357 1.038 9
-0.38 0.365 0.926 8
-0.343 0.401 0.787 9
-0.297 0.456 0.584 8
-0.227 0.509 0.369 8
-0.13 0.542 0.255 9
0.025 0.574 0.336 8
0.127 0.559 0.316 9
0.22 0.53 0.315 8
0.235 0.485 0.356 8
0.155 0.429 0.432 9
0.013 0.378 0.515 8
-0.15 0.346 0.56 8
-0.222 0.339 0.595 9
-0.297 0.407 0.627 8
-0.346 0.546 0.586 9
-0.325 0.707 0.437 8
-0.22 0.847 0.222 8
0.001 1.025 -0.032 9
0.329 1.182 -0.243 8
0.634 1.27 -0.564 9
0.886 1.192 -0.96 8
1.017 0.902 -1.343 8
0.931 0.402 -1.579 9
0.524 -0.34 -1.332 8
-0.246 -1.227 -0.329 9
-1.005 -2.08 0.826 8
-1.474 -2.799 1.964 8
-1.605 -3.326 3.012 9
-1.552 -3.639 3.911 8
-1.548 -3.698 4.48 9
-1.548 -3.584 4.314 8
-1.595 -3.325 3.65 8
-1.635 -2.981 2.786 9
-1.611 -2.598 1.904 8
-1.477 -2.196 1.019 8
-1.154 -1.794 0.145 9
-0.831 -1.376 -0.484 8
-0.544 -0.999 -0.97 9
-0.31 -0.675 -1.321 8
-0.171 -0.406 -1.585 8
-0.186 -0.192 -1.822 9
-0.229 -0.014 -2.004 8
-0.254 0.118 -2.184 9
-0.18 0.214 -2.175 8
-0.051 0.298 -2.042 8
0.104 0.372 -1.913 9
0.295 0.424 -1.895 8
0.502 0.492 -1.803 9
0.787 0.549 -1.601 8
1.031 0.606 -1.373 8
1.159 0.619 -1.14 9
1.213 0.587 -0.915 8
1.256 0.529 -0.704 9
1.267 0.495 -0.579 8
1.209 0.459 -0.552 8
1.062 0.415 -0.534 9
0.852 0.379 -0.538 8
0.622 0.368 -0.602 9
0.419 0.388 -0.754 8
0.234 0.425 -0.956 8
-0.029 0.427 -1.104 9
-0.287 0.392 -1.053 8
-0.51 0.355 -0.916 8
-0.672 0.349 -0.841 9
-0.744 0.385 -0.922 8
-0.645 0.393 -0.977 9
-0.56 0.433 -1.011 8
-0.425 0.475 -0.937 8
-0.238 0.483 -0.802 9
-0.038 0.458 -0.618 8
0.105 0.445 -0.327 9
0.159 0.404 -0.039 8
0.178 0.368 0.229 8
0.136 0.33 0.452 9
0.035 0.295 0.629 8
-0.074 0.279 0.785 9
-0.093 0.297 0.959 8
0.023 0.309 1.093 8
0.097 0.36 1.136 9
0.13 0.408 1.084 8
0.155 0.451 0.984 9
0.168 0.502 0.853 8
0.126 0.571 0.664 8
0.125 0.586 0.671 9
0.176 0.655 0.656 8
0.207 0.696 0.624 9
0.174 0.711 0.576 8
0.085 0.711 0.467 8
0.007 0.691 0.238 9
-0.045 0.667 0.198 8
-0.1 0.649 0.228 8
-0.153 0.6 0.272 9
-0.148 0.555 0.375 8
-0.048 0.549 0.569 9
0.141 0.591 0.823 8
0.272 0.667 1.06 8
0.414 0.777 1.331 9
0.651 0.913 1.525 8
1.016 1.08 1.609 9
