# Accelerometer Data File
# Started @Wed Mar 30 10:28:48 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-1.119 0.155 -2.696 9
-1.481 0.281 -2.901 8
-1.888 0.397 -2.826 8
-2.089 0.439 -2.587 9
-1.863 0.343 -2.433 8
-1.595 0.514 -2.487 8
-1.301 0.668 -2.588 9
-1.021 0.684 -2.719 8
-1.073 0.93 -2.807 9
-1.201 1.152 -2.746 8
-0.826 0.745 -2.435 8
-0.453 0.337 -1.864 9
-0.312 0.015 -1.382 8
-0.31 -0.265 -1.102 9
-0.559 -0.434 -0.921 8
-1.354 -0.268 -0.728 8
-2.828 0.385 -0.498 9
-3.134 0.471 -0.573 8
-2.938 0.429 -0.674 9
-2.608 0.429 -0.866 8
-2.207 0.439 -0.996 8
-1.784 0.364 -1.012 9
-1.432 0.135 -0.996 8
-1.277 0.053 -0.788 9
-1.274 0.041 -0.501 8
-1.498 0.065 -0.297 8
-1.757 0.076 -0.21 9
-1.881 0.07 -0.182 8
-1.832 0.1 -0.101 8
-1.736 0.157 -0.027 9
-1.661 0.173 0.044 8
-1.613 0.108 -0.013 9
-1.478 0.029 -0.061 8
-1.235 0.0 0.02 8
-1.013 0.04 0.219 9
-0.815 0.135 0.334 8
-0.646 0.244 0.286 9
-0.512 0.286 0.254 8
-0.486 0.182 0.194 8
-0.58 -0.061 0.041 9
-0.693 -0.321 -0.202 8
-0.779 -0.422 -0.43 9
-0.936 -0.383 -0.525 8
-0.938 -0.352 -0.505 8
-0.794 -0.343 -0.397 9
-0.579 -0.323 -0.262 8
-0.36 -0.246 -0.199 9
-0.129 -0.149 -0.119 8
-0.034 -0.104 -0.117 8
0.026 -0.184 -0.182 9
-0.008 -0.342 -0.287 8
-0.18 -0.494 -0.362 9
-0.384 -0.576 -0.278 8
-0.57 -0.641 -0.082 8
-0.57 -0.576 0.136 9
-0.472 -0.423 0.325 8
-0.376 -0.275 0.463 8
-0.33 -0.202 0.531 9
-0.292 -0.193 0.485 8
-0.38 -0.162 0.219 9
-0.288 -0.089 -0.015 8
-0.142 0.005 -0.116 8
-0.009 0.085 -0.144 9
0.091 0.132 -0.206 8
0.183 0.186 -0.344 9
0.31 0.204 -0.385 8
0.386 0.289 -0.39 8
0.471 0.368 -0.359 9
0.635 0.303 -0.297 8
0.831 0.078 -0.209 9
0.717 0.04 -0.09 8
0.348 0.057 -0.002 8
-0.046 0.066 -0.004 9
-0.303 0.044 -0.013 8
-0.42 0.035 0.0 9
-0.459 0.083 0.02 8
-0.406 0.152 -0.016 8
-0.321 0.187 -0.095 9
-0.359 0.205 -0.183 8
-0.357 0.168 -0.245 9
-0.315 0.109 -0.266 8
