# Accelerometer Data File
# Started @Mon Mar 07 14:17:16 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:NORMAL
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-1.72 8.596 3.334 0
-1.689 7.757 3.1 201
-1.37 6.929 2.649 201
-1.211 6.286 2.414 202
-1.215 5.646 2.47 201
-0.158 4.466 2.963 202
0.786 3.506 3.007 201
-0.294 3.671 3.214 201
-0.014 3.363 2.41 202
0.344 3.157 1.246 201
0.213 2.948 1.833 202
0.117 2.658 1.602 201
0.099 2.371 1.414 201
0.154 2.13 1.292 202
-0.261 2.306 1.195 201
-2.782 0.692 0.58 202
0.697 -0.023 6.336 201
-0.793 -2.318 4.653 202
0.828 1.051 1.64 201
2.224 -1.475 4.146 201
0.673 -1.782 1.902 202
0.721 -1.765 4.31 201
0.213 -2.061 4.495 202
-0.077 -1.594 2.166 201
-0.198 -1.546 -1.224 201
0.041 0.36 2.544 202
-0.565 -0.475 1.571 201
0.484 -1.174 2.074 202
0.114 -1.437 0.397 201
3.521 -1.381 -2.471 202
1.623 -4.567 5.028 201
4.024 -8.105 -1.502 201
8.159 -13.919 -3.015 202
2.355 -14.033 -8.297 201
-0.377 -7.254 -6.282 202
-0.751 -8.504 -3.367 201
3.788 -8.998 -2.479 201
0.792 -6.466 -2.304 202
-2.651 -0.971 -3.357 201
2.203 -3.797 -3.008 202
3.964 -4.972 -1.192 201
-0.643 -3.176 0.646 202
2.273 -0.977 0.064 201
-1.561 -5.587 0.0 201
-3.667 -3.388 -4.058 202
-2.854 -0.311 -2.296 201
-0.211 -5.795 -2.308 202
-5.69 -4.198 -2.483 201
-0.907 -0.656 -0.98 201
-0.49 -1.418 -2.877 202
4.654 -0.695 -0.66 201
-0.736 -1.127 4.406 202
3.581 -1.442 -2.416 201
-2.19 0.657 0.036 202
-4.66 0.339 3.195 201
1.603 -2.705 -0.238 201
5.521 -2.045 -0.213 202
-5.113 -10.517 2.02 201
-0.438 0.53 -1.504 202
6.07 3.831 -1.377 201
-5.2 5.314 -1.108 201
-0.073 -0.967 1.778 202
0.56 -2.969 -1.173 201
3.127 -6.788 2.513 202
-2.152 1.1 -0.746 201
-3.096 3.57 -0.164 202
-2.792 5.524 -0.818 201
-2.601 -0.559 4.093 201
2.724 -1.834 -0.119 202
9.099 -0.488 -2.631 201
-5.3 -2.13 -2.131 202
5.656 -3.345 -2.864 201
2.982 -6.053 -1.575 201
-0.265 0.728 -0.417 202
1.177 -0.033 0.835 201
4.081 0.077 -2.375 202
-5.116 0.837 3.106 201
2.362 -0.059 -1.677 202
5.814 -3.468 -1.923 201
-3.74 -3.957 4.526 201
2.264 1.335 0.866 202
3.797 -2.391 -1.852 201
-0.91 -2.023 -0.175 202
-5.831 4.0 0.362 201
6.857 6.133 -2.084 201
-7.54 0.42 4.68 202
1.128 0.995 0.451 201
5.382 -0.763 0.304 202
-2.986 -9.983 -7.888 201
-4.011 2.846 1.407 202
4.269 1.646 -0.46 201
-4.154 6.269 0.92 201
1.413 0.054 1.594 202
1.738 -0.486 -0.212 201
2.24 -3.814 -2.091 202
-4.244 1.066 0.117 201
1.413 -1.017 -2.368 201
-1.668 0.133 -2.376 202
1.336 0.0 1.631 201
0.93 -0.349 -0.759 202
9.489 0.287 0.866 201
-5.579 -3.154 7.941 202
-3.572 2.305 -2.03 201
3.183 6.764 -0.278 201
-5.04 -0.926 2.69 202
1.789 0.07 0.206 201
1.252 -1.287 -0.804 202
5.085 1.681 -2.146 201
-3.524 2.38 0.883 201
2.743 0.196 -1.004 202
-2.043 3.681 -0.717 201
-5.22 2.192 1.067 202
-0.822 -0.542 1.941 201
2.472 -3.029 -0.724 201
-3.651 -6.941 0.493 202
-1.834 1.409 -0.343 201
3.597 1.525 -1.43 202
0.937 -3.985 -0.745 201
-1.333 -1.152 1.69 202
-4.165 0.208 1.774 201
0.677 -2.398 -3.057 201
-2.553 -1.027 9.952 202
-0.657 1.645 -2.159 201
9.358 -9.136 -3.846 202
-3.874 3.867 -1.407 201
0.883 2.223 -1.505 201
2.304 1.069 0.421 202
2.218 0.791 -1.12 201
-5.08 2.574 2.825 202
5.871 -0.898 -1.309 201
-0.672 1.803 -3.216 202
-1.056 0.914 -2.119 201
0.914 0.473 1.919 201
6.914 1.305 0.536 202
-4.504 -5.226 -2.234 201
-2.276 2.342 -0.028 202
5.214 3.046 -3.753 201
3.26 0.755 1.567 201
0.973 0.27 4.487 202
0.053 -1.21 -3.528 201
1.372 -2.114 0.743 202
-7.499 0.044 -7.177 201
1.026 1.519 1.274 202
3.406 -2.218 -1.784 201
-2.046 1.377 1.354 201
-0.544 1.145 0.157 202
0.512 -1.013 3.037 201
-2.719 -0.073 -1.784 202
-2.393 2.499 3.296 201
-3.062 0.301 0.466 201
-4.29 -2.596 2.648 202
-1.282 -0.474 2.288 201
0.488 5.855 7.797 202
-3.639 4.22 6.097 201
-1.81 7.474 4.848 202
-1.557 8.299 4.821 201
-0.739 9.189 4.58 201
0.36 9.712 2.424 202
-0.418 7.757 2.297 201
-1.106 7.284 1.345 202
-1.062 5.371 2.399 201
-0.512 5.339 2.417 201
-2.431 5.722 1.967 202
-2.238 4.063 0.373 201
-0.276 3.985 0.208 202
-0.376 3.576 0.677 201
-1.962 3.966 0.98 202
-1.036 3.809 1.734 201
-1.858 1.953 1.468 201
-0.313 2.149 2.159 202
1.856 1.786 0.789 201
0.335 1.592 2.241 202
-0.727 2.352 1.293 201
-0.054 2.051 0.408 201
-0.981 2.466 -0.265 202
-1.734 1.739 1.278 201
-1.184 1.035 0.577 202
-1.403 0.586 0.617 201
-1.165 0.468 0.679 202
-0.952 0.472 0.718 201
-1.134 0.745 0.216 201
-1.707 1.166 -0.139 202
-1.575 1.06 -0.061 201
-1.151 0.995 -0.147 202
-1.092 0.82 -0.206 201
-1.191 0.828 0.246 201
-0.69 0.582 -0.012 202
-0.579 0.361 0.091 201
-0.188 0.283 -0.033 202
-0.122 0.11 0.251 201
-0.134 0.058 0.343 202
-0.14 0.151 0.115 201
-0.111 0.141 0.25 201
-0.098 0.204 -0.008 202
-0.381 0.267 0.158 201
-0.622 0.422 -0.405 202
-0.734 0.441 0.688 201
-0.482 0.286 -0.099 201
-0.329 0.104 -0.111 202
-0.15 -0.006 0.113 201
0.018 -0.187 0.151 202
0.188 -0.133 0.284 201
0.099 -0.214 0.389 202
0.083 -0.141 0.153 201
0.974 -0.599 0.242 201
0.19 0.089 0.176 202
0.512 0.03 0.037 201
0.129 0.382 0.111 202
0.229 0.165 -0.181 201
0.225 0.136 -0.024 201
0.234 0.199 0.285 202
0.329 0.128 -0.157 201
0.302 0.085 0.182 202
0.455 0.262 -0.119 201
0.284 0.489 -0.362 202
0.341 -0.003 -0.279 201
-0.559 0.095 -0.52 201
-1.341 0.636 -0.956 202
-1.966 1.272 -0.435 201
-1.517 0.776 -0.685 202
-1.022 0.599 -0.473 201
-0.027 0.577 -0.123 201
1.185 0.399 0.13 202
0.895 0.387 -0.192 201
0.518 0.278 -0.371 202
0.284 0.374 -0.272 201
0.41 0.328 -0.14 202
-0.607 0.782 -1.187 201
-0.492 0.774 -2.656 201

# Completed @Mon Mar 07 14:18:02 CST 2016
