# Accelerometer Data File
# Started @Tue Mar 29 09:29:06 CDT 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0011901855m/sec^2; Max Range: 39.226593; Min Delay: 8333 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: ft/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-3.371 2.665 1.252 8
-4.189 2.003 1.947 8
-4.616 1.573 2.042 9
-4.736 1.305 2.001 8
-4.261 1.006 2.025 8
-3.501 0.773 1.839 9
-2.976 0.807 1.031 8
-2.555 1.023 -0.313 9
-2.054 0.885 -1.941 8
-1.836 0.558 -3.332 8
-1.524 0.303 -4.127 9
-1.049 0.118 -4.357 8
-0.547 -0.149 -4.321 9
0.063 -0.509 -4.331 8
0.4 -0.5 -2.888 8
-0.142 -0.397 -1.418 9
-1.087 -0.232 -0.156 8
-1.88 -0.174 0.978 9
-2.118 -0.44 2.17 8
-1.834 -1.023 3.398 8
-0.865 -1.542 2.597 9
-1.399 -1.095 2.202 8
-1.426 -0.778 1.758 9
-0.533 -0.839 1.052 8
0.295 -0.731 0.193 8
0.611 0.11 -1.025 9
-0.008 1.06 -0.63 8
-0.25 1.19 -1.238 8
-0.094 0.834 -1.162 9
0.278 0.453 -0.345 8
0.623 0.403 -0.119 9
0.592 0.737 -0.568 8
0.707 0.993 -0.644 8
0.509 1.198 0.079 9
0.014 1.429 0.541 8
-0.54 1.722 0.451 9
-0.913 2.018 0.276 8
-1.49 1.987 0.321 8
-1.814 1.628 0.625 9
-2.272 1.225 0.878 8
-2.696 0.956 1.136 9
-3.063 0.806 1.095 8
-3.404 0.569 0.282 8
-2.947 -0.169 -0.933 9
-2.111 -0.799 -0.981 8
-0.847 -1.304 -1.426 9
0.365 -1.78 -2.345 8
1.126 -2.264 -3.276 8
1.294 -2.651 -3.472 9
1.162 -2.383 -1.883 8
3.145 -2.492 -2.655 9
2.791 -1.777 -1.063 8
1.959 -0.935 0.856 8
2.418 -0.698 1.92 9
4.344 -1.264 2.664 8
4.985 -1.351 2.499 8
4.217 -0.535 1.037 9
5.935 -0.188 -0.29 8
7.644 -0.077 -1.208 9
7.837 -0.092 -1.295 8
7.052 -0.452 -0.105 8
5.249 -1.018 0.859 9
3.015 -1.441 0.873 8
-0.508 -1.487 0.808 9
-3.792 -1.514 0.841 8
-5.824 -1.708 0.646 8
-6.866 -1.926 -0.272 9
-8.687 -1.879 -0.607 8
-5.459 -3.155 -2.579 9
-4.251 -3.238 -2.092 8
-2.446 -3.007 -0.964 8
0.01 -3.084 -0.224 9
-0.873 -3.29 1.214 8
-0.324 -6.346 2.878 9
0.17 -8.989 2.235 8
-2.464 -6.036 0.276 8
-5.152 -0.259 -2.797 9
-5.455 4.705 -5.852 8
-3.672 6.715 -6.777 9
-4.063 6.229 -5.201 8
-4.536 6.005 -2.842 8
-4.8 5.153 -1.027 9
-4.93 3.494 -0.253 8
-4.944 1.565 -0.236 8
-4.686 0.421 -0.044 9
-3.835 0.138 0.877 8
-2.431 -0.177 1.736 9
-1.22 -0.104 1.996 8
-0.57 -0.499 2.294 8
-0.519 -1.418 2.864 9
-0.688 -1.591 3.087 8
0.513 -1.48 3.187 9
0.132 -0.915 2.708 8
0.558 -0.971 1.627 8
1.031 -0.876 0.662 9
0.925 -0.147 0.246 8
1.022 0.608 0.14 9
3.903 0.381 0.456 8
5.668 0.275 0.729 8
5.85 1.133 0.385 9
5.22 1.906 -0.378 8
4.463 1.963 -1.319 9
